activity_name,category,group,person,partners,school_codes,description,website
Fieldwork in Teaching Diverse Learners,Training,TEP,,Peggy Hickman,"1340, 6460",TEP masters students do special fieldwork experiences in local elementary and secondary schools to understand the needs of diverse learners in the classroom,
Parents' School and Neighborhood Ties: Network Advantages in the Era of School Choice.,Research,TLL,Rand Quinn,,2410,"A network analysis of two groups of parents within a school of choice (""locals"" who live within the school neighborhood, and ""non-locals"" who live outside the school neighborhood) to study how networks of local and non-local parents differ, what resources are exchanged, and what advantages and disadvantages do each group experience. Funded by the Spencer Foundation.",
Penn Science Across the Ages,Student Programs,TEP,NancyLee Bergey,,"1340, 2680,  ",Penn students provide science education to grades K-5,
Universal Audenreid School Improvement Project,Consulting,,,James H. Lytle,3417,Assistance in implementing a School Improvement Grant,
PLAAY,Student Programs,APHD,Howard Stevenson,,"1420, 1580, 1130",Preventing Long-term Anger and Aggression in Youth (PLAAY),
Programming w/ Electronic Textiles,Student Programs,TLL,Yasmin Kafai,,2680,Programming w/ Electronic Textiles,
Game-Making Choice Classes,Student Programs,TLL,Yasmin Kafai,"Peter Endriss, contact; Ann Kreidle, secondary contact",1280,A series of game making choice classes for middle school students,
Collaborative Electronic Textiles,Student Programs,TLL,Yasmin Kafai,"Dr. Sheri Hanna, STEM Director; Jason Corosanite, Founder",3336,"Piloting collaborative electronic textiles as part of a broader NSF grant for the Exploring Computer Science curriculum, to inform curriculum development for the STEM majors program.",
Game-Making Workshops,Student Programs,TLL,Yasmin Kafai,"Alison Loughlin, contact; Gideon Disheon, Penn GSE",2650,Game making workshops for high-school freshmen from the Science Leadership Academy in partnership with the Franklin Institute,
College and Career Access Course,Service Learning,HED,Laura Perna,,1020,ABCS course taught in collaboration with Netter Center projects to increase college and career access for high school students ,https://www.nettercenter.upenn.edu/programs/college-access-and-career-readiness
Filmmaking Workshop: Representing Philadelphia’s Schools,Student Programs,"GSE Films, ECS","Kathleen Hall, Amitanshu Das, Aaron Walters, Matthew Tarditi",Judy Her,"1010, 4020, 6090","Students create public service announcements and short videos that represent participating Philadelphia High Schools to local families and the public. The workshop combines hands-on filmmaking, ethnographic methods and service learning. ",http://philasd.org/videos/promo/school-selection/pma
Longitudinal Bilingual Linguistic Study,Research,ELX,Nelson Flores,,3394,A longitudinal linguistic ethnography of 9 focal students that seeks to understand the ways that the students negotiate the bilingual nature of the program.,
